"Child name","Payment Mode","Amount (USD)",Note,Date
"Adam Damon",Unpaid,"1,244.00","Online payment through gocardless  dasassssssss ssssss sssssssssssssssssssssssssssss sssssssssssssss ssssssss ssssssssssssss sssssssss ssssssssss sssssssssssss sssssssss ssssssssssssssss","May 28, 2019"
"Adam Damon",Unpaid,120.00,,"May 24, 2019"
"Adam Damon",Unpaid,30.00,,"May 27, 2019"
"Adam Damon",Cheque,"1,000.00",dsasa,"May 21, 2019"
"Adam Damon",Unpaid,30.00,"Online cron job","May 27, 2019"
"Adam Damon",Unpaid,15.00,"Online cron job","May 27, 2019"
"Adam Damon",Unpaid,120.00,,"May 24, 2019"
"Adam Damon",Cheque,10.00,,"May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Online cron job","May 27, 2019"
"Cally Damon",Cheque,500.00,,"Mar 13, 2019"
"Cally Damon",Unpaid,60.00,,"May 25, 2019"
"Cally Damon",Cash,10.00,,"Mar 11, 2019"
"Cally Damon",Cheque,300.00,,"Mar 13, 2019"
"Cally Damon",Unpaid,10.00,,"May 25, 2019"
"Cally Damon",Cheque,25.00,Test,"Mar 11, 2019"
"Cally Damon",Cheque,100.00,,"Apr 16, 2019"
"Clair Damon",Cheque,"1,000.00",,"Mar 14, 2019"
"Clair Damon",Unpaid,841.50,,"May 7, 2019"
"Clair Damon",Cheque,555.00,fgdsgfgf,"May 1, 2019"
"Crish Smith",Cheque,150.00,Advance,"May 20, 2019"
"Crish Smith",-,29.40,done,"Apr 5, 2019"
"Crish Smith",Cheque,"1,000.00",,"Apr 16, 2019"
"Crish Smith",Unpaid,90.00,,"May 23, 2019"
"Crish Smith",Cheque,50.00,,"Apr 16, 2019"
"Crish Smith",Cheque,10.00,Partial,"Apr 18, 2019"
"Crish Smith",Unpaid,90.00,,"May 23, 2019"
"Crish Smith",Cheque,10.00,,"Apr 16, 2019"
"Daisy Damon",Cheque,200.00,,"Apr 16, 2019"
"Geetika Popli",Unpaid,44.10,,"May 7, 2019"
"Geetika Popli",Unpaid,44.10,,"May 7, 2019"
"hello  testr",Cash,100.00,"Test advance","May 20, 2019"
"hello  testr",Cash,55.00,sdsfd,"May 20, 2019"
"hello  testr",Cheque,100.00,Advance,"May 20, 2019"
"hello  testr",Cash,100.00,texstere,"May 20, 2019"
"hello  testr",Cheque,100.00,"Test advance","May 20, 2019"
"hello  testr",Cash,45.00,dsfds,"May 20, 2019"
"hello  testr",Cheque,0.50,dfdsfs,"May 20, 2019"
"hello  testr",Cheque,100.00,,"May 20, 2019"
"hello  testr",Cheque,150.00,Test,"May 20, 2019"
"hello  testr",Cash,50.00,test,"May 20, 2019"
"Jasmin Damon",Cheque,200.00,,"Apr 16, 2019"
"Jasmin Damon",Cash,10.00,Partial,"Apr 18, 2019"
"Jayden Smith",Cheque,15.00,,"Jan 31, 2019"
"Jayden Smith",Cheque,30.00,,"Jan 30, 2019"
"Julia Damon",Cheque,15.00,fdgdffd,"Jan 30, 2019"
"Julia Damon",Cheque,200.00,,"Apr 16, 2019"
"Julia Damon",Cheque,10.00,cxvcvdf,"Jan 30, 2019"
"Kelly Smith",Cheque,20.00,,"Apr 15, 2019"
"Kelly Smith",Cheque,50.00,,"Jan 31, 2019"
"Kelly Smith",Voucher,8.00,"good moirsdfdf","Apr 10, 2019"
"Ken Smith",Unpaid,88.09,,"May 13, 2019"
"Ken Smith",Unpaid,88.09,,"May 13, 2019"
"Maxim Damon",Cheque,15.00,,"Jan 30, 2019"
"Maxim Damon",Cheque,10.00,,"Jan 25, 2019"
"Nick Damon",Cheque,100.00,,"Apr 16, 2019"
"Nyree Gail",Cheque,100.00,"partial payment","Jan 25, 2019"
"Nyree Gail",Cheque,0.00,,"Jan 30, 2019"
"Nyree Gail",Cheque,"1,000.00",,"Jan 30, 2019"
"Nyree Gail",Voucher,1.00,,"Jan 30, 2019"
"Nyree Gail",Cheque,"100,000.00",,"Jan 30, 2019"
"Nyree Gail",Cheque,500.00,,"Jan 25, 2019"
"Nyree Gail",Cheque,1.00,,"Jan 30, 2019"
"Nyree Gail",Cash,500.00,FGF,"Jan 30, 2019"
"Rossy Damon",Cheque,500.00,"dfd ff dsf s","Mar 8, 2019"
"Tim Damon",Cash,600.00,"test with rohit","May 15, 2019"
"Tim Damon",Cash,100.00,debit,"Apr 22, 2019"
