"Child name","Payment Mode","Amount (USD)",Note,Date
"Adam Damon",Unpaid,30.00,"Jan 1, 1970","May 27, 2019"
"Adam Damon",Unpaid,15.00,"Jan 1, 1970","May 27, 2019"
"Adam Damon",Unpaid,120.00,"Jan 1, 1970","May 24, 2019"
"Adam Damon",Cheque,10.00,"Jan 1, 1970","May 27, 2019"
"Adam Damon",Unpaid,"1,244.00","Jan 1, 1970","May 28, 2019"
"Adam Damon",Unpaid,120.00,"Jan 1, 1970","May 24, 2019"
"Adam Damon",Unpaid,30.00,"Jan 1, 1970","May 27, 2019"
"Adam Damon",Cheque,"1,000.00","Jan 1, 1970","May 21, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Ava Jayden",Unpaid,354.00,"Jan 1, 1970","May 27, 2019"
"Cally Damon",Cheque,300.00,"Jan 1, 1970","Mar 13, 2019"
"Cally Damon",Unpaid,10.00,"Jan 1, 1970","May 25, 2019"
"Cally Damon",Cheque,25.00,"Jan 1, 1970","Mar 11, 2019"
"Cally Damon",Cheque,100.00,"Jan 1, 1970","Apr 16, 2019"
"Cally Damon",Cheque,500.00,"Jan 1, 1970","Mar 13, 2019"
"Cally Damon",Unpaid,60.00,"Jan 1, 1970","May 25, 2019"
"Cally Damon",Cash,10.00,"Jan 1, 1970","Mar 11, 2019"
"Clair Damon",Cheque,555.00,"Jan 1, 1970","May 1, 2019"
"Clair Damon",Cheque,"1,000.00","Jan 1, 1970","Mar 14, 2019"
"Clair Damon",Unpaid,841.50,"Jan 1, 1970","May 7, 2019"
"Crish Smith",Cheque,50.00,"Jan 1, 1970","Apr 16, 2019"
"Crish Smith",Cheque,10.00,"Jan 1, 1970","Apr 18, 2019"
"Crish Smith",Unpaid,90.00,"Jan 1, 1970","May 23, 2019"
"Crish Smith",Cheque,10.00,"Jan 1, 1970","Apr 16, 2019"
"Crish Smith",Cheque,150.00,"Jan 1, 1970","May 20, 2019"
"Crish Smith",-,29.40,"Jan 1, 1970","Apr 5, 2019"
"Crish Smith",Cheque,"1,000.00","Jan 1, 1970","Apr 16, 2019"
"Crish Smith",Unpaid,90.00,"Jan 1, 1970","May 23, 2019"
"Daisy Damon",Cheque,200.00,"Jan 1, 1970","Apr 16, 2019"
"Geetika Popli",Unpaid,44.10,"Jan 1, 1970","May 7, 2019"
"Geetika Popli",Unpaid,44.10,"Jan 1, 1970","May 7, 2019"
"hello  testr",Cash,45.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cheque,0.50,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cheque,100.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cheque,150.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cash,50.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cash,100.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cash,55.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cheque,100.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cheque,100.00,"Jan 1, 1970","May 20, 2019"
"hello  testr",Cash,100.00,"Jan 1, 1970","May 20, 2019"
"Jasmin Damon",Cash,10.00,"Jan 1, 1970","Apr 18, 2019"
"Jasmin Damon",Cheque,200.00,"Jan 1, 1970","Apr 16, 2019"
"Jayden Smith",Cheque,30.00,"Jan 1, 1970","Jan 30, 2019"
"Jayden Smith",Cheque,15.00,"Jan 1, 1970","Jan 31, 2019"
"Julia Damon",Cheque,10.00,"Jan 1, 1970","Jan 30, 2019"
"Julia Damon",Cheque,15.00,"Jan 1, 1970","Jan 30, 2019"
"Julia Damon",Cheque,200.00,"Jan 1, 1970","Apr 16, 2019"
"Kelly Smith",Cheque,50.00,"Jan 1, 1970","Jan 31, 2019"
"Kelly Smith",Voucher,8.00,"Jan 1, 1970","Apr 10, 2019"
"Kelly Smith",Cheque,20.00,"Jan 1, 1970","Apr 15, 2019"
"Ken Smith",Unpaid,88.09,"Jan 1, 1970","May 13, 2019"
"Ken Smith",Unpaid,88.09,"Jan 1, 1970","May 13, 2019"
"Maxim Damon",Cheque,10.00,"Jan 1, 1970","Jan 25, 2019"
